organism,antibiotic,standard,standard_version,S_max,R_min,unit,status,source_note
# ============================================================================
# BREAKPOINT TABLE - EUCAST v14.0 (2024) ONLY.
# All values VERIFIED against the official EUCAST v14.0 PDF (Enterobacterales
# and Acinetobacter spp. sheets). CLSI was intentionally NOT included because
# CLSI M100 could not be accessed for verification; EUCAST is the sole primary
# standard. This is stated as a methodological choice/limitation in the report.
#
# Conventions:
#  - EUCAST publishes "S<=" and "R>". The engine classifies R when mic>=R_min,
#    so R_min is set to the smallest doubling-dilution strictly ABOVE the EUCAST
#    "R>" value. Where S_max==R>value (no intermediate zone), same rule applies.
#  - "(bracketed)" = EUCAST breakpoint in brackets (dosing-dependent / caution).
#  - no_breakpoint = EUCAST '-' or 'IE' (Insufficient Evidence): excluded from
#    the S/I/R panel for that organism.
#  - Panel chosen to cover the antimicrobial CATEGORIES needed for valid
#    XDR/PDR phenotyping (carbapenems, polymyxins, aminoglycosides,
#    fluoroquinolones, BL/BLI combinations, folate-pathway, monobactam, glycylcycline).
# ============================================================================
klebsiella pneumoniae,cefiderocol,EUCAST,EUCAST v14.0 (2024),2,4,mg/L,OK,Enterobacterales S<=2 R>2 (iron-depleted MHB note3); R_min=next dil
klebsiella pneumoniae,meropenem,EUCAST,EUCAST v14.0 (2024),2,16,mg/L,OK,Enterobacterales non-meningitis S<=2 R>8; R_min=next dil above 8
klebsiella pneumoniae,imipenem,EUCAST,EUCAST v14.0 (2024),2,8,mg/L,OK,Enterobacterales except Morganellaceae S<=2 R>4; R_min=next dil above 4
klebsiella pneumoniae,doripenem,EUCAST,EUCAST v14.0 (2024),1,4,mg/L,OK,Enterobacterales S<=1 R>2; R_min=next dil above 2
klebsiella pneumoniae,ertapenem,EUCAST,EUCAST v14.0 (2024),0.5,1,mg/L,OK,Enterobacterales S<=0.5 R>0.5 no I zone; R_min=next dil
klebsiella pneumoniae,colistin,EUCAST,EUCAST v14.0 (2024),2,4,mg/L,OK,Enterobacterales S<=2 R>2 bracketed; R_min=next dil
klebsiella pneumoniae,amikacin,EUCAST,EUCAST v14.0 (2024),8,16,mg/L,OK,Enterobacterales systemic S<=8 R>8 bracketed; R_min=next dil
klebsiella pneumoniae,gentamicin,EUCAST,EUCAST v14.0 (2024),2,4,mg/L,OK,Enterobacterales systemic S<=2 R>2 bracketed; R_min=next dil
klebsiella pneumoniae,tobramycin,EUCAST,EUCAST v14.0 (2024),2,4,mg/L,OK,Enterobacterales systemic S<=2 R>2 bracketed; R_min=next dil
klebsiella pneumoniae,ciprofloxacin,EUCAST,EUCAST v14.0 (2024),0.25,1,mg/L,OK,Enterobacterales non-mening S<=0.25 R>0.5 ATU0.5; R_min=next dil above 0.5
